20000 100000
0 4560 111
1 5893 8591
2 14809 5111
3 4987 6381
4 17350 5421
5 11856 5691
6 18464 1101
7 15473 1641
8 16921 5911
9 12084 4681
10 3958 1711
11 4991 7491
12 7613 801
13 14876 811
14 18775 7231
15 6841 5541
16 12872 3351
17 17270 521
18 3372 8971
19 16116 7521
20 11057 6681
21 8372 7631
22 6509 8171
23 2246 6261
24 2346 3511
25 10974 6891
26 16401 7131
27 10187 7531
28 17440 1961
29 3438 7551
30 898 5731
31 14726 6561
32 3763 1651
33 8777 1901
34 14887 8901
35 17340 5471
36 9873 7171
37 2911 6341
38 18131 3371
39 74 501
40 13774 8161
41 19023 5051
42 11738 4161
43 15875 231
44 5844 8111
45 9994 8721
46 6468 4171
47 19857 8651
48 2076 6131
49 15851 3491
50 1083 2421
51 10929 9301
52 8330 8651
53 8196 7541
54 13933 9121
55 18255 9331
56 1315 551
57 8556 5451
58 15999 8251
59 11987 4781
60 16984 7521
61 2614 2791
62 18577 811
63 2732 771
64 2061 4091
65 17280 6021
66 13821 4431
67 19209 2991
68 9397 4331
69 12534 5291
70 11335 7431
71 18533 9261
72 2858 4481
73 5027 41
74 19030 8061
75 8600 2431
76 2447 9581
77 5358 111
78 1442 2121
79 7009 8331
80 5364 8461
81 16009 7251
82 13712 4451
83 5991 5311
84 3715 3871
85 1870 4711
86 14441 2721
87 17772 3811
88 4556 7441
89 10321 4731
90 5606 3891
91 19862 7551
92 2990 1101
93 2819 6821
94 12765 6801
95 4677 9951
96 4019 9611
97 4941 1461
98 3723 6281
99 2989 2171
100 13841 901
101 6837 7081
102 8896 7141
103 15630 1471
104 6315 3801
105 11057 201
106 11544 8601
107 12915 1281
108 15277 5031
109 9681 1301
110 1102 2421
111 6231 6631
112 8427 9811
113 17732 1521
114 7796 221
115 1255 1441
116 3480 3011
117 14806 7581
118 1754 8411
119 7237 6211
120 12284 421
121 11883 5141
122 4812 1091
123 1824 7591
124 3617 1741
125 5265 3041
126 8221 4421
127 15855 3531
128 357 31
129 4599 3421
130 14458 7761
131 7598 351
132 11729 4291
133 6937 5381
134 6340 121
135 869 431
136 6343 4781
137 13782 2111
138 11649 2241
139 6499 1911
140 16703 2771
141 13082 4081
142 16469 7731
143 11588 4181
144 10921 9401
145 13117 3331
146 5436 8761
147 6012 5311
148 12313 301
149 229 6371
150 12113 4551
151 627 451
152 12589 5611
153 17370 5781
154 7675 3331
155 16626 2241
156 9349 7101
157 5384 2941
158 1132 841
159 10509 7201
160 3574 7071
161 14017 7131
162 9271 1181
163 4105 4291
164 17820 5631
165 14574 8301
166 19528 8031
167 14108 4511
168 827 6051
169 11198 3721
170 14004 7031
171 588 2721
172 9231 9911
173 12714 991
174 7803 2351
175 18906 5531
176 2093 6581
177 11996 2431
178 19928 3251
179 4517 1641
180 8945 3861
181 4804 8421
182 19904 8711
183 5086 3211
184 17057 9271
185 5052 9751
186 18356 821
187 19392 9751
188 8621 3821
189 18455 1441
190 14739 51
191 7454 8191
192 3571 2741
193 1505 3161
194 413 8191
195 1353 5481
196 8726 101
197 17742 3701
198 280 6931
199 11183 2521
200 18961 6611
201 8256 9651
202 1176 2951
203 5596 631
204 1130 2681
205 18385 671
206 230 2521
207 11393 4461
208 16405 1071
209 7563 6551
210 11385 1381
211 1608 7521
212 1779 5991
213 14257 3451
214 13284 7991
215 6549 9221
216 16396 8181
217 12968 9501
218 6739 861
219 7236 4591
220 3443 7801
221 5224 2211
