10000 19800
0 1 77
0 100 93
100 101 90
100 200 46
200 201 82
200 300 21
300 301 62
300 400 79
400 401 41
400 500 37
500 501 49
500 600 41
600 601 39
600 700 86
700 701 68
700 800 26
800 801 12
800 900 56
900 901 83
900 1000 29
1000 1001 51
1000 1100 84
1100 1101 99
1100 1200 25
1200 1201 75
1200 1300 6
1300 1301 54
1300 1400 92
1400 1401 75
1400 1500 82
1500 1501 36
1500 1600 74
1600 1601 87
1600 1700 20
1700 1701 42
1700 1800 49
1800 1801 38
1800 1900 35
1900 1901 47
1900 2000 24
2000 2001 87
2000 2100 18
2100 2101 41
2100 2200 83
2200 2201 79
2200 2300 58
2300 2301 26
2300 2400 67
2400 2401 12
2400 2500 53
2500 2501 43
2500 2600 9
2600 2601 30
2600 2700 39
2700 2701 51
2700 2800 98
2800 2801 1
2800 2900 35
2900 2901 52
2900 3000 39
3000 3001 77
3000 3100 8
3100 3101 40
3100 3200 87
3200 3201 42
3200 3300 73
3300 3301 4
3300 3400 59
3400 3401 66
3400 3500 50
3500 3501 32
3500 3600 56
3600 3601 72
3600 3700 37
3700 3701 11
3700 3800 82
3800 3801 76
3800 3900 45
3900 3901 39
3900 4000 36
4000 4001 56
4000 4100 69
4100 4101 78
4100 4200 78
4200 4201 84
4200 4300 79
4300 4301 26
4300 4400 50
4400 4401 15
4400 4500 96
4500 4501 16
4500 4600 11
4600 4601 42
4600 4700 34
4700 4701 6
4700 4800 38
4800 4801 50
4800 4900 92
4900 4901 33
4900 5000 97
5000 5001 40
5000 5100 45
5100 5101 70
5100 5200 35
5200 5201 9
5200 5300 94
5300 5301 43
5300 5400 77
5400 5401 30
5400 5500 77
5500 5501 8
5500 5600 52
5600 5601 44
5600 5700 6
5700 5701 89
5700 5800 34
5800 5801 36
5800 5900 77
5900 5901 63
5900 6000 62
6000 6001 52
6000 6100 11
6100 6101 98
6100 6200 79
6200 6201 18
6200 6300 77
6300 6301 65
6300 6400 16
6400 6401 22
6400 6500 24
6500 6501 44
6500 6600 16
6600 6601 1
6600 6700 51
6700 6701 1
6700 6800 51
6800 6801 0
6800 6900 26
6900 6901 94
6900 7000 67
7000 7001 33
7000 7100 53
7100 7101 11
7100 7200 45
7200 7201 32
7200 7300 46
7300 7301 86
7300 7400 15
7400 7401 23
7400 7500 15
7500 7501 67
7500 7600 52
7600 7601 97
7600 7700 96
7700 7701 1
7700 7800 6
7800 7801 57
7800 7900 23
7900 7901 33
7900 8000 43
8000 8001 58
8000 8100 16
8100 8101 19
8100 8200 30
8200 8201 19
8200 8300 22
8300 8301 48
8300 8400 22
8400 8401 27
8400 8500 19
8500 8501 10
8500 8600 7
8600 8601 64
8600 8700 57
8700 8701 59
8700 8800 79
8800 8801 48
8800 8900 50
8900 8901 9
8900 9000 78
9000 9001 6
9000 9100 99
9100 9101 55
9100 9200 53
9200 9201 26
9200 9300 65
9300 9301 1
9300 9400 3
9400 9401 73
9400 9500 1
9500 9501 73
9500 9600 55
9600 9601 24
9600 9700 27
9700 9701 31
9700 9800 80
9800 9801 19
9800 9900 13
9900 9901 47
1 2 65
1 101 15
101 102 74
101 201 55
201 202 90
201 301 1
301 302 79
301 401 67
401 402 59
401 501 49
501 502 38
501 601 42
601 602 88
601 701 83
701 702 37
701 801 2
801 802 18
801 901 31
901 902 86
901 1001 88
1001 1002 7
1001 1101 44
1101 1102 81
1101 1201 55
1201 1202 5
1201 1301 81
1301 1302 9
1301 1401 99
1401 1402 36
1401 1501 46
1501 1502 32
1501 1601 9
1601 1602 41
1601 1701 10
1701 1702 14
1701 1801 35
1801 1802 85
1801 1901 61
1901 1902 63
1901 2001 77
2001 2002 36
2001 2101 43
2101 2102 17
2101 2201 83
2201 2202 58
2201 2301 44
2301 2302 58
2301 2401 77
2401 2402 31
2401 2501 6
2501 2502 96
2501 2601 99
2601 2602 37
2601 2701 20
2701 2702 31
2701 2801 49
2801 2802 17
2801 2901 75
2901 2902 48
2901 3001 80
3001 3002 70
3001 3101 92
3101 3102 77
3101 3201 20
3201 3202 17
3201 3301 0
3301 3302 8
3301 3401 23
3401 3402 80
3401 3501 88
