800 19176
0 559 803
0 502 345
0 263 526
0 549 909
0 251 271
0 658 327
0 411 196
0 725 99
0 485 22
0 446 741
0 726 689
0 429 57
0 26 798
0 505 76
0 294 4
0 222 197
0 172 361
0 221 793
0 278 831
0 276 331
0 247 211
0 489 781
0 412 699
0 270 720
0 98 171
0 143 473
0 191 518
0 588 359
0 637 156
0 513 58
0 15 338
0 491 36
0 73 71
0 780 90
0 521 195
0 671 813
0 471 150
0 176 663
0 255 557
0 391 169
0 188 463
0 57 613
0 775 16
0 309 520
0 132 547
0 227 606
0 203 433
1 498 443
1 760 482
1 728 314
1 494 582
1 593 61
1 366 725
1 526 634
1 769 917
1 265 294
1 587 200
1 133 509
1 398 513
1 168 88
1 34 554
1 437 582
1 747 803
1 90 818
1 99 106
1 219 5
1 614 49
1 552 130
1 347 224
1 799 577
1 553 37
1 228 583
1 767 45
1 749 63
1 86 965
1 87 589
1 515 679
1 84 468
1 150 826
1 354 954
1 496 693
1 104 710
1 258 439
1 64 509
1 787 844
1 444 665
1 637 528
1 17 310
1 381 988
1 690 502
1 269 996
1 678 408
1 299 706
1 510 174
1 484 681
1 431 787
1 194 850
1 478 924
2 25 443
2 14 839
2 731 696
2 218 104
2 205 976
2 589 139
2 421 75
2 208 567
2 599 579
2 518 242
2 754 376
2 531 24
2 353 283
2 483 599
2 655 758
2 790 410
2 229 999
2 96 63
2 590 91
2 195 177
2 567 296
2 6 421
2 747 139
2 260 983
2 406 99
2 719 852
2 64 487
2 257 951
2 252 929
2 356 269
2 53 786
2 520 204
2 58 397
2 622 704
2 554 803
2 468 472
2 324 186
2 447 135
2 231 247
2 674 49
2 527 663
2 700 269
2 164 519
2 498 326
2 756 63
2 588 142
2 553 370
2 100 856
2 249 465
2 728 64
3 435 319
3 12 11
3 647 521
3 720 447
3 422 809
3 592 636
3 144 625
3 261 71
3 498 166
3 768 580
3 90 31
3 252 282
3 71 590
3 276 602
3 441 668
3 200 705
3 291 301
3 31 214
3 14 383
3 631 951
3 743 21
3 454 242
3 28 996
3 461 329
3 206 667
3 459 787
3 643 180
3 33 258
3 196 371
3 770 533
3 210 617
3 173 523
3 202 915
3 664 798
3 437 534
3 380 64
3 368 890
3 639 408
3 305 562
3 572 157
3 365 667
3 85 394
3 522 535
3 417 951
3 300 450
3 96 840
3 18 891
3 638 111
3 470 377
3 178 342
3 364 786
4 43 561
4 681 775
4 627 132
4 568 534
4 714 987
4 293 718
4 212 75
4 252 452
4 375 681
4 332 455
4 296 662
4 635 876
4 652 525
4 60 588
4 491 108
4 6 109
4 567 187
4 580 706
4 610 401
4 302 322
4 622 787
4 488 873
4 707 4
4 140 725
4 348 824
4 67 530
4 585 116
4 666 199
